app,l1,l1_kb,complete,exit_cause,simSeconds,simInsts,numCycles,ipc,cpi,l1i_miss_rate,l1d_miss_rate,l2_miss_rate,bp_cond_miss_rate
blowfish_dec,2kB,2,1,exiting with last active thread context,0.018942,51552725.0,47355277.0,1.088637,0.91858,0.074051,0.186807,0.000734,0.012007636655948553
blowfish_dec,4kB,4,1,exiting with last active thread context,0.017717,51552725.0,44292796.0,1.163908,0.859175,0.010509,0.127283,0.00118,0.011923724965345824
blowfish_dec,8kB,8,1,exiting with last active thread context,0.014,51552725.0,34999425.0,1.472959,0.678905,0.000219,0.033529,0.005661,0.01220018620003178
blowfish_dec,16kB,16,1,exiting with last active thread context,0.013738,51552725.0,34344291.0,1.501057,0.666197,0.00012,0.032752,0.00708,0.011962145608867287
blowfish_dec,32kB,32,1,exiting with last active thread context,0.012322,51552725.0,30804764.0,1.673531,0.597539,0.00011,0.000413,0.460023,0.011921604850495243
blowfish_enc,2kB,2,1,exiting with last active thread context,0.019337,51552634.0,48342580.0,1.066402,0.937732,0.112847,0.186889,0.000662,0.016478344286934375
blowfish_enc,4kB,4,1,exiting with last active thread context,0.017955,51552634.0,44886819.0,1.148503,0.870699,0.01621,0.13316,0.001114,0.016386822052361784
blowfish_enc,8kB,8,1,exiting with last active thread context,0.014144,51552634.0,35359138.0,1.457972,0.685884,0.000218,0.037058,0.005223,0.01664752244292076
blowfish_enc,16kB,16,1,exiting with last active thread context,0.013735,51552634.0,34337475.0,1.501352,0.666066,0.00012,0.030359,0.007251,0.01640471356179273
blowfish_enc,32kB,32,1,exiting with last active thread context,0.012339,51552634.0,30847616.0,1.671203,0.598371,0.00011,0.000387,0.480949,0.016390237910043865
blowfish_total,2kB,2,1,enc: exiting with last active thread context | dec: exiting with last active thread context,0.038279,103105359.0,95697857.0,1.0774050980054861,0.9281559942970569,0.09345737285301571,0.18684784006272695,0.0006964518699402223,0.01425789879554509
blowfish_total,4kB,4,1,enc: exiting with last active thread context | dec: exiting with last active thread context,0.035671999999999995,103105359.0,89179615.0,1.1561538923441192,0.8649367585248406,0.013361814561280607,0.1302117419035742,0.0011459757399853705,0.014168526185810952
blowfish_total,8kB,8,1,enc: exiting with last active thread context | dec: exiting with last active thread context,0.028144000000000002,103105359.0,70358563.0,1.4654272998725115,0.6823948210102251,0.00021877241774643662,0.03528728257552072,0.005433142167220043,0.014437303260852978
blowfish_total,16kB,16,1,enc: exiting with last active thread context | dec: exiting with last active thread context,0.027473,103105359.0,68681766.0,1.5012042497567695,0.6661318739019181,0.00012006618533548754,0.031557828442398024,0.007164782871585045,0.014198601495041718
blowfish_total,32kB,32,1,enc: exiting with last active thread context | dec: exiting with last active thread context,0.024661,103105359.0,61652380.0,1.6723662411734956,0.5979551460559872,0.00010999944632385713,0.0004002719126670208,0.4702506441789646,0.014168846447311482
dijkstra,2kB,2,1,exiting with last active thread context,0.025323,36892567.0,63308710.0,0.582741,1.716029,0.095112,0.195055,0.000939,0.0100442746177711
dijkstra,4kB,4,1,exiting with last active thread context,0.020778,36892567.0,51944381.0,0.710232,1.40799,0.02114,0.146935,0.001453,0.009957136711894254
dijkstra,8kB,8,1,exiting with last active thread context,0.015359,36892567.0,38396731.0,0.960826,1.040771,0.001313,0.075687,0.00319,0.009939897271549487
dijkstra,16kB,16,1,exiting with last active thread context,0.013723,36892567.0,34306900.0,1.075369,0.929914,0.000371,0.052816,0.004922,0.00994647217727289
dijkstra,32kB,32,1,exiting with last active thread context,0.011382,36892567.0,28456213.0,1.296468,0.771326,0.000213,0.019532,0.017239,0.009948509806085009
