
---------- Begin Simulation Statistics ----------
simSeconds                                   0.013723                       # Number of seconds simulated (Second)
simTicks                                  13722723600                       # Number of ticks simulated (Tick)
finalTick                                 13722723600                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                     99.70                       # Real time elapsed on the host (Second)
hostTickRate                                137640421                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    2219840                       # Number of bytes of host memory used (Byte)
simInsts                                     36892567                       # Number of instructions simulated (Count)
simOps                                       36892624                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   370036                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     370036                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           400                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                         34306900                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.929914                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               1.075369                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        37435143                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                     1011                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       37211851                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                      3                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined               543529                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined            343746                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 663                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples            34250317                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               1.086467                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.343387                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                  16839478     49.17%     49.17% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                   6840106     19.97%     69.14% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   4115160     12.01%     81.15% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   4355774     12.72%     93.87% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   1456358      4.25%     98.12% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                    613555      1.79%     99.91% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                     28750      0.08%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                       692      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                       444      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total              34250317                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                     147      2.00%      2.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%      2.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%      2.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%      2.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%      2.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%      2.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%      2.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%      2.00% # attempts to use FU when none available (Count)
