app,l1,l1_kb,complete,exit_cause,simSeconds,simInsts,numCycles,ipc,cpi,l1i_miss_rate,l1d_miss_rate,l2_miss_rate,bp_cond_miss_rate
blowfish_dec,1kB,1,1,exiting with last active thread context,0.204282,51552725.0,204281592.0,0.252361,3.962576,0.299291,0.179533,0.000639,0.021508953643742404
blowfish_dec,2kB,2,1,exiting with last active thread context,0.198376,51552725.0,198376055.0,0.259874,3.848023,0.081485,0.14474,0.001097,0.02163843018213883
blowfish_dec,4kB,4,1,exiting with last active thread context,0.189633,51552725.0,189633069.0,0.271855,3.67843,0.005475,0.095064,0.001975,0.021527365202648852
blowfish_dec,8kB,8,1,exiting with last active thread context,0.173099,51552725.0,173099343.0,0.297822,3.357715,0.000167,0.018644,0.010669,0.021477278990486567
blowfish_dec,16kB,16,1,exiting with last active thread context,0.172218,51552725.0,172217572.0,0.299346,3.34061,0.000122,0.014341,0.014093,0.021477181962419902
blowfish_enc,1kB,1,1,exiting with last active thread context,0.204424,51552634.0,204423690.0,0.252185,3.965339,0.288959,0.179076,0.000641,0.021571825325048893
blowfish_enc,2kB,2,1,exiting with last active thread context,0.199108,51552634.0,199107547.0,0.258919,3.862219,0.125364,0.148201,0.000964,0.02160521409064678
blowfish_enc,4kB,4,1,exiting with last active thread context,0.190258,51552634.0,190257503.0,0.270962,3.690549,0.012603,0.099794,0.001853,0.02159334605578319
blowfish_enc,8kB,8,1,exiting with last active thread context,0.173292,51552634.0,173292148.0,0.29749,3.361461,0.000169,0.021451,0.009864,0.02148829605266528
blowfish_enc,16kB,16,1,exiting with last active thread context,0.17241,51552634.0,172410264.0,0.299011,3.344354,0.000122,0.017148,0.012721,0.02148817303827545
blowfish_total,1kB,1,1,enc: exiting with last active thread context | dec: exiting with last active thread context,0.408706,103105359.0,408705282.0,0.2522731257483479,3.963957702722319,0.2941406945057363,0.17930434929970732,0.0006396174276823456,0.021540345370434137
blowfish_total,2kB,2,1,enc: exiting with last active thread context | dec: exiting with last active thread context,0.397484,103105359.0,397483602.0,0.25939525173166766,3.855120682912321,0.10338604061217035,0.1464701803159857,0.0010263003563856182,0.021621808447985825
blowfish_total,4kB,4,1,enc: exiting with last active thread context | dec: exiting with last active thread context,0.379891,103105359.0,379890572.0,0.2714080490526098,3.684489105944532,0.009030708263962385,0.0974292001504473,0.0019123321095904765,0.021560307230863485
blowfish_total,8kB,8,1,enc: exiting with last active thread context | dec: exiting with last active thread context,0.346391,103105359.0,346391491.0,0.29765557664925435,3.3595876524711,0.00016836629030474883,0.020047441953444455,0.010250678342377898,0.02148278641807357
blowfish_total,16kB,16,1,enc: exiting with last active thread context | dec: exiting with last active thread context,0.34462800000000005,103105359.0,344627836.0,0.29917884810674433,3.3424822855231024,0.00012197617493874914,0.015744425905085437,0.013371896706971958,0.021482676402764786
dijkstra,1kB,1,1,exiting with last active thread context,0.16557,36892567.0,165569690.0,0.222822,4.487887,0.178955,0.267296,0.001011,0.010348884312304565
dijkstra,2kB,2,1,exiting with last active thread context,0.156273,36892567.0,156273466.0,0.236077,4.235907,0.13082,0.192321,0.001361,0.010344689527586218
dijkstra,4kB,4,1,exiting with last active thread context,0.147846,36892567.0,147846370.0,0.249533,4.007484,0.015573,0.14437,0.002277,0.010335405657444825
dijkstra,8kB,8,1,exiting with last active thread context,0.134349,36892567.0,134348630.0,0.274603,3.641618,0.001372,0.069309,0.00499,0.010334790174105976
dijkstra,16kB,16,1,exiting with last active thread context,0.130194,36892567.0,130194338.0,0.283365,3.529013,0.000358,0.046641,0.007552,0.01033438782182353
